"Practice Name","Phone","Address","Owner Name","Language","Status","Last Contact","Notes","Assigned To","Owner Title","Vertical","Lead Score","Company LinkedIn","Owner LinkedIn","Owner Email Status","Founded Year"
"Bittner Family Dental Group","(408) 247-8080","California","","English","new","","Score 7/10 | apollo:5e5830ab6b13a90001599f76","","","dental","7","http://www.linkedin.com/company/bittnerdentalgroup","","","1972"
"Soft Touch Dental","(858) 274-8200","California","Azaryas Ma**o","English","new","","Score 9/10 | apollo:54a1f2827468692e71383800","","Owner","dental","9","http://www.linkedin.com/company/soft-touch-dental","","unverified",""
"Gentle Mobile Dental Group","(310) 977-3505","California","Tziporah Dmd","English","new","","Score 10/10 | apollo:66209c34d6682c00079f2108","","Owner","dental","10","http://www.linkedin.com/company/gentle-mobile-dental-group","","unverified","2020"
"ERA Dentistry","(818) 787-3053","California","Elizabeth Ro**s","English","new","","Score 9/10 | apollo:676f2283328a1c03eab94895","","Owner/ Dentist","dental","9","http://www.linkedin.com/company/era-dentistry","","unverified","2004"
"Kids2Dentist","(559) 589-8600","California","","English","new","","Score 8/10 | apollo:6473c829f0d21b000193a1f5","","","dental","8","http://www.linkedin.com/company/kids2dentist","","","2020"
"Genuine Care Dental","(408) 753-9955","California","John Ro**g","English","new","","Score 9/10 | apollo:54fca1ba7369640183660500","","Owner/ Dentist","dental","9","http://www.linkedin.com/company/genuine-care-dental","","verified",""
"All Smiles Pediatric Dentistry","(858) 737-9000","California","Rebecca Le**d","English","new","","Score 10/10 | apollo:54fca1ae7369647e8b140500","","Pediatric Dentist / Owner","dental","10","http://www.linkedin.com/company/all-smiles-pediatric-dentistry","","unverified","2012"
"Pannu Dental Group","(669) 322-7050","California","Dalvir Pa**u","English","new","","Score 9/10 | apollo:54a1ce1f74686945fabb2f12","","Founder and CEO","dental","9","http://www.linkedin.com/company/pannu-dental-group","","verified","2003"
"La Jolla Dental Group,lajolladentalgroup.com","","California","""Owner","English","new","","Score 9/10 | apollo:54a139b369702dc8e41b5e00","","General & Cosmetic Dentist""","dental","9","Irene No**i","","unverified",""
"Evergreen Family Dentistry","(408) 270-1120","California","Ujjwala Do**r","English","new","","Score 9/10 | apollo:55923acc7369642529926400","","Owner and Managing Dentist","dental","9","http://www.linkedin.com/company/evergreen-family-dentistry","","unverified",""
"Uyesugi Dental","(408) 279-4337","California","Kaz Uy**i","English","new","","Score 9/10 | apollo:60491afcc572a80001e3eb45","","General Dentist & Owner","dental","9","http://www.linkedin.com/company/uyesugi-dental","","verified","1985"
"Hills Dental Group","(408) 725-1536","California","Rachana Vy**s","English","new","","Score 9/10 | apollo:5f4a7de967aede0001a1ae89","","Business Owner","dental","9","http://www.linkedin.com/company/hills-dental-group","","unverified",""
"A New Smile Dental Group","(818) 897-5771","California","","English","new","","Score 7/10 | apollo:54a1cec174686945fa0d6812","","","dental","7","http://www.linkedin.com/company/a-new-smile-dental-group","","",""
"Dental-X (Formerly Med-X AI)","(310) 424-0700","California","Kapil Sh**a","English","new","","Score 10/10 | apollo:6675a7845787bd0c7c201a12","","Founder and CEO","dental","10","http://www.linkedin.com/company/medx-ai","","verified","2024"
"Sherman Oaks Dentist Green Dental & Orthodontics","(818) 782-9500","California","","English","new","","Score 7/10 | apollo:5b8553ec324d4466e4a6633c","","","dental","7","http://www.linkedin.com/company/green-dental-sheman-oaks","","","2009"
"Calm Dental","(213) 624-3333","California","","English","new","","Score 7/10 | apollo:54a1ad4b7468694f8f361f07","","","dental","7","http://www.linkedin.com/company/calm-dental","","","2009"
"Aero Dentistry","(858) 277-2999","California","","English","new","","Score 7/10 | apollo:61eb9da828cc560001158025","","","dental","7","http://www.linkedin.com/company/aero-dentistry","","",""
"Ora Dental","","California","Johnny Ch**n","English","new","","Score 10/10 | apollo:642ad8be639db700a3969ea7","","Dentist / Owner","dental","10","http://www.linkedin.com/company/grow-with-ora","","unverified","2023"
"Sacramento Dentistry Group","(916) 538-6900","California","","English","new","","Score 7/10 | apollo:54a1285769702dab37902501","","","dental","7","http://www.linkedin.com/company/sacramento-dentistry-group","","",""
"Angel City VA Recruitment","(213) 246-2985","California","","English","new","","Score 7/10 | apollo:65c9f920a5f3c5000181309e","","","dental","7","http://www.linkedin.com/company/angel-city-va-recruitment","","",""
"Safarian Dental","(858) 255-9689","California","Shahin Sa**n","English","new","","Score 10/10 | apollo:662789c7fb1d4501c78cf62a","","Business Owner","dental","10","http://www.linkedin.com/company/lovebites-dental-san-diego","","verified","2019"
"RANCHO PENASQUITOS DENTAL CENTER","(858) 484-3100","California","Rancho Ce**r","English","new","","Score 9/10 | apollo:67274616ed6bc2000186b272","","Owner","dental","9","http://www.linkedin.com/company/rancho-penasquitos-dental-center","","unverified",""
"Esthetic Professionals","(818) 654-7102","California","Bruce Cr**n","English","new","","Score 9/10 | apollo:55923a1c736964583e037700","","Founder & Director","dental","9","http://www.linkedin.com/company/esthetic-professionals","","verified","1997"
"LA Dental Symposium","(818) 293-8213","California","Abdi Sa**i","English","new","","Score 10/10 | apollo:5e57a5237eed1100011a71ab","","Founder","dental","10","http://www.linkedin.com/company/international-restorative-dentistry-symposium","","unverified","2019"
"Choice Dental Center","(213) 680-2808","California","","English","new","","Score 7/10 | apollo:57c4a3dfa6da982c173a152e","","","dental","7","http://www.linkedin.com/company/choice-dental-center","","","2001"
"""Dentistry By Design, Inc.""","(619) 828-1662","California","Tia Am**n","English","new","","Score 9/10 | apollo:54fca25273696401aa3b0d00","","Co-owner/Manager","dental","9","http://www.linkedin.com/company/dentistry-by-design-inc.","","unverified",""
"Dentina.Ai","","California","Peter Ga**y","English","new","","Score 9/10 | apollo:6646f26888f38d01d3b45341","","Founder","dental","9","http://www.linkedin.com/company/dentina-ai","","verified",""
"A+ Family Dentistry® Group","(619) 831-8832","California","Roger Tr**n","English","new","","Score 9/10 | apollo:54fca1a47369647ffc100600","","Chief Executive Officer","dental","9","http://www.linkedin.com/company/a-plus-family-dentistry","","verified","2002"
"AZ Dental Group","(408) 295-1100","California","","English","new","","Score 8/10 | apollo:54fca1517369647dd4ae0600","","","dental","8","http://www.linkedin.com/company/az-dental-group","","","2010"
"Brian Davey DDS Inc","(858) 538-8300","California","","English","new","","Score 7/10 | apollo:54fca5ec7369647e26593200","","","dental","7","http://www.linkedin.com/company/brian-davey-dds","","","2004"
"Dental Design SD - San Diego Dentist","(858) 490-4281","California","","English","new","","Score 7/10 | apollo:57c4dabaa6da986a1f1858f3","","","dental","7","http://www.linkedin.com/company/dental-design-sd","","","2009"
"Town Square Family Dentistry","(858) 272-7300","California","Hema Sr**n","English","new","","Score 9/10 | apollo:61eba3db63965d0001c8a369","","Owner","dental","9","http://www.linkedin.com/company/town-square-family-dentistryclmt","","unverified",""
"The Dentistry Collective,thedentistrycollective.com","","California","""CEO","English","new","","Score 9/10 | apollo:54a1f46a7468693cdd9d6400","","Dentist""","dental","9","Timothy Ga**o","","unverified",""
"Finer Smiles Dental","(818) 788-2155","California","Nairy Se**n","English","new","","Score 10/10 | apollo:65c0b381f587e90001f94c24","","Chief Executive Officer","dental","10","http://www.linkedin.com/company/finer-smiles-dental","","verified","2023"
"Cal Dental USA","(800) 963-5553","California","","English","new","","Score 8/10 | apollo:62e41e10725b4500a3d0722a","","","dental","8","http://www.linkedin.com/company/caldentalusa","","","2015"
"J Street Dental Group","(916) 443-5677","California","Maryam Sa**h","English","new","","Score 9/10 | apollo:61ec24fc3c2dbe0001fbf80e","","Owner Dentist","dental","9","http://www.linkedin.com/company/j-street-dental-group","","unverified","1982"
"River Dentistry - Downtown Los Angeles","(213) 486-0006","California","Charles Hu**g","English","new","","Score 10/10 | apollo:54a1b75e7468695475a7720a","","Owner","dental","10","http://www.linkedin.com/company/river-dentistry","","verified","2013"
"Total Care Dental & Orthodontics,tcdortho.com","","California","""Orthodontist","English","new","","Score 9/10 | apollo:5e57bd78f6d38f0001775711","","CEO""","dental","9","Keivan Sa**f","","verified",""
"First Dental Health","(800) 334-7244","California","","English","new","","Score 7/10 | apollo:54a13c4569702d231f6f1c02","","","dental","7","http://www.linkedin.com/company/first-dental-health","","","1995"
"""Sahar Verdi, D.D.S.""","(310) 477-1691","California","","English","new","","Score 7/10 | apollo:60485451e5fe750001659d80","","","dental","7","http://www.linkedin.com/company/saharverdidds","","",""
"Bird Rock Dental","(858) 401-7761","California","","English","new","","Score 7/10 | apollo:54fca63a7369647e2a953900","","","dental","7","http://www.linkedin.com/company/bird-rock-dental","","",""
"Dental Design Studio City","(818) 538-8899","California","Sako Ka**n","English","new","","Score 10/10 | apollo:556d31487369641261e5b400","","Owner and General Dentist","dental","10","http://www.linkedin.com/company/dental-design-studio-city","","verified","2014"
"Alluna Dental","(818) 980-3333","California","David Co**n","English","new","","Score 9/10 | apollo:616137adb6e4110001e112a0","","Owner","dental","9","http://www.linkedin.com/company/allunadental","","verified",""
"Cal Dental Group","(323) 934-2804","California","Anko Hs**o","English","new","","Score 9/10 | apollo:5f720cc7e7579b00ca011243","","CEO","dental","9","http://www.linkedin.com/company/cal-dental-group-la","","unverified","2006"
"Sherman Oaks Dentist","(818) 784-0763","California","","English","new","","Score 7/10 | apollo:5500b38a7369642df5733200","","","dental","7","http://www.linkedin.com/company/shermanoaksdentist","","","1989"
"Famous Hollywood Dental Care,hollywooddentalcare.com,http://www.hollywooddentalcare.com","California","1970","Dentist","English","new","","Score 9/10 | apollo:559209a073696418bcb52f00","","""","dental","9","""Practice Owner","","unverified",""
"Trident Cosmetic and Family Dentistry","(310) 444-1445","California","Elaine Go**k","English","new","","Score 10/10 | apollo:54a134da69702d352f778800","","Owner","dental","10","http://www.linkedin.com/company/trident-cosmetic-and-family-dentistry","","verified","2010"
"A+ Dental","(760) 566-7434","California","","English","new","","Score 8/10 | apollo:5592194073696419d8c86700","","","dental","8","http://www.linkedin.com/company/all-smile-dental","","","2015"
"Mayfair Dentistry","(408) 923-8500","California","","English","new","","Score 8/10 | apollo:5da2787aa2e257000199fcc9","","","dental","8","http://www.linkedin.com/company/mayfairdentistry","","","2017"
"Cosmetic Dentistry Center of San Diego","(619) 544-0544","California","Nate Ho**y","English","new","","Score 9/10 | apollo:54a1398269702d2a1e9a5300","","Owner","dental","9","http://www.linkedin.com/company/cosmetic-dentistry-center-of-san-diego","","unverified","1984"
"Sierra Oaks Dental","(916) 846-9828","California","Peter Kim","English","new","","Score 9/10 | apollo:5e5829c4c0fa300001de4a2b","","Owner/President","dental","9","http://www.linkedin.com/company/sierra-oaks-dental","","verified","1973"
"True Design Dentistry","(858) 483-3384","California","","English","new","","Score 7/10 | apollo:57c4a65ba6da982c61c8f999","","","dental","7","http://www.linkedin.com/company/true-design-dentistry","","",""
"Pacific Edge Dental Laboratory","(800) 889-9323","California","","English","new","","Score 7/10 | apollo:5d07fe7cf65125adb76f03f4","","","dental","7","http://www.linkedin.com/company/pacific-edge-dental-lab","","","2004"
"Perfect Smile Dental Ceramics","(858) 467-9449","California","","English","new","","Score 7/10 | apollo:556d39b6736964126cdebe00","","","dental","7","http://www.linkedin.com/company/perfect-smile-dental-ceramics","","","1989"
"Art Dental","(510) 559-8598","California","Nina Ni**c","English","new","","Score 9/10 | apollo:559224c373696418bc639200","","Owner and Dentist","dental","9","http://www.linkedin.com/company/art-dental","","unverified",""
"Captain Dental","(408) 826-4676","California","","English","new","","Score 8/10 | apollo:612b3db8d70a4100a4fed096","","","dental","8","http://www.linkedin.com/company/captain-dental","","","2017"
"California Shine Dental","(408) 223-9600","California","","English","new","","Score 7/10 | apollo:54a1364769702d36c9731401","","","dental","7","http://www.linkedin.com/company/california-shine-dental","","",""
"Natomas Crossing Dental Care","(916) 928-9999","California","Sheila Ha**s","English","new","","Score 9/10 | apollo:54fca59a7369647de9fb2f00","","Owner","dental","9","http://www.linkedin.com/company/natomas-crossing-dental-care","","verified",""
"Coastal Dental Arts","(619) 858-8080","California","Peter Br**a","English","new","","Score 9/10 | apollo:54fca1557369640176010500","","Owner","dental","9","http://www.linkedin.com/company/coastal-dental-arts","","unverified","2003"
"Brite Smile Dental","(619) 667-3330","California","","English","new","","Score 7/10 | apollo:5da53106e409180001e2e54f","","","dental","7","http://www.linkedin.com/company/brite-smile-dental-sd","","",""
"Museum Dental Center","(323) 933-3855","California","","English","new","","Score 7/10 | apollo:5e5638e151043e0001a3155b","","","dental","7","http://www.linkedin.com/company/museum-dental-center","","","1996"
"Adams Dental Consulting","(866) 232-7640","California","Ashlee Ad**s","English","new","","Score 10/10 | apollo:5da48f74e7e63400018de224","","Founder and President","dental","10","http://www.linkedin.com/company/adamsdentalconsulting","","verified","2018"
"Super Kids Dental,superkidsdental.net","","California","""Co-Owner","English","new","","Score 9/10 | apollo:5da3d197c2747a0001630922","","Entrepreneur""","dental","9","Allen Pa**n","","unverified",""
"""Jamie Elizabeth Sands, D.D.S.""","(818) 766-6767","California","","English","new","","Score 8/10 | apollo:54a1342069702d352ff62400","","","dental","8","http://www.linkedin.com/company/jamie-sands-cosmetic-dentist","","","2011"
"Comfort Dental Center,comfortdentalcenter.com","","California","""Owner","English","new","","Score 9/10 | apollo:5da3cd53adac26000107eb2a","","Periodontist""","dental","9","Michael Ho**n","","unverified",""
"Pacific Beach Smile Studio","(858) 272-6047","California","","English","new","","Score 7/10 | apollo:5da54b31cef49f000160e7f6","","","dental","7","http://www.linkedin.com/company/pacificbeachsmilestudio","","","2007"
"Dental Ops Coach","","California","","English","new","","Score 8/10 | apollo:67433bc7d3bcde0001c3e57a","","","dental","8","http://www.linkedin.com/company/dental-ops-coach","","","2023"
"Surgikor Dental Implant","(888) 823-5553","California","","English","new","","Score 8/10 | apollo:556db8367369641284436f01","","","dental","8","http://www.linkedin.com/company/surgikor","","","2019"
"Keystone Health Group","(717) 709-7900","California","Jumar Ga**a","English","new","","Score 10/10 | apollo:5a9d9a38a6da98d9852a0d70","","Co-Founder","dental","10","http://www.linkedin.com/company/keystone-treatment-centers","","verified","2025"
"San Diego County Dental Foundation","(619) 500-1619","California","","English","new","","Score 7/10 | apollo:6369f8df86886d00a47b69e5","","","dental","7","http://www.linkedin.com/company/sdcdentalfoundation","","","1992"
"Fresh Smile Dental","(866) 840-6966","California","","English","new","","Score 7/10 | apollo:559228067369644859293f00","","","dental","7","http://www.linkedin.com/company/fresh-smile-dental","","",""
"TORREY DEL MAR DENTISTRY","(858) 484-9090","California","Faisal Su**n","English","new","","Score 9/10 | apollo:5e59d6afc416720001006e32","","General Dentist and Owner","dental","9","http://www.linkedin.com/company/torrey-del-mar-dentistry","","unverified","2003"
"Butterfly Dental Care","(408) 255-7767","California","Jianye Ch**n","English","new","","Score 10/10 | apollo:54fca2397369640154280e00","","General Dentist /Owner","dental","10","http://www.linkedin.com/company/butterfly-dental-care","","verified","2011"
"ABC Kids Dental Group","(818) 401-6777","California","","English","new","","Score 8/10 | apollo:5ed560e5a492690001d46a9f","","","dental","8","http://www.linkedin.com/company/abc-kids-dental-group","","","2013"
"Scripps Center For Dental Care","(858) 535-8300","California","","English","new","","Score 7/10 | apollo:54a1dc1574686945fad82315","","","dental","7","http://www.linkedin.com/company/scrippscenterfordentalcare","","","1992"
"Wilshire Center Dental Group","(213) 386-3336","California","","English","new","","Score 7/10 | apollo:54a1bb297468694f8f192f0c","","","dental","7","http://www.linkedin.com/company/wilshire-center-dental-group","","",""
"New Smile Prosthodontics","(951) 696-8200","California","","English","new","","Score 8/10 | apollo:5e5625838ee16e00016189dc","","","dental","8","http://www.linkedin.com/company/new-smile-prosthodontics","","","2013"
"Front Office Rocks - An UptimeHealth Company","(800) 914-3595","California","","English","new","","Score 8/10 | apollo:56d7cc16f3e5bb5893000b15","","","dental","8","http://www.linkedin.com/company/front-office-rocks","","","2012"
"Gentle Care Dental","(323) 264-8834","California","","English","new","","Score 7/10 | apollo:5e55e2a5c678320001e9a96e","","","dental","7","http://www.linkedin.com/company/gcdental","","","1986"
"Sorrento Valley Smiles","(858) 412-4696","California","Pravina Re**y","English","new","","Score 9/10 | apollo:59bba397a6da9887a3d56272","","Company Owner","dental","9","http://www.linkedin.com/company/pravina-reddy-dmd-inc.","","unverified","2007"
"Sinai Dental","(818) 780-7555","California","","English","new","","Score 7/10 | apollo:5e5706ae20e7010001ae7952","","","dental","7","http://www.linkedin.com/company/sinai-dental","","","1995"
"Dental Game Plan","(323) 844-0339","California","","English","new","","Score 7/10 | apollo:5569898273696425e2ed5000","","","dental","7","http://www.linkedin.com/company/dental-game-plan","","","2009"
"Victory Plaza Dental Group","(818) 927-0726","California","","English","new","","Score 8/10 | apollo:5da4a718a3b18d000110428d","","","dental","8","http://www.linkedin.com/company/victory-plaza-dental-group","","","2017"
"CHD DENTAL CARE","(818) 886-6660","California","","English","new","","Score 7/10 | apollo:66f8df35e0d5a00001b50d67","","","dental","7","http://www.linkedin.com/company/chddentalcare","","","2000"
"Primary Integrative Dentistry","(310) 564-8990","California","Tzur Ga**i","English","new","","Score 10/10 | apollo:57c4db71a6da9869ef35a337","","Founder / CEO","dental","10","http://www.linkedin.com/company/primaryid","","verified","2013"
"Integrated Dental Partners","(408) 807-5045","California","Arun Ra**r","English","new","","Score 10/10 | apollo:6915b715e0fef60021d6a8e9","","Chief Executive Officer","dental","10","http://www.linkedin.com/company/integrated-dental-partners","","verified","2024"
"""Treva D. Lee, DDS""","(559) 226-3010","California","","English","new","","Score 7/10 | apollo:54a1b3a57468695475774f09","","","dental","7","http://www.linkedin.com/company/treva-d.-lee-dds","","","1987"
"""Dr. Timothy Mickiewicz, DDS""","(916) 469-9178","California","","English","new","","Score 7/10 | apollo:6621fa5b31ccc3043a7afa47","","","dental","7","http://www.linkedin.com/company/timothy-mickiewicz-dds","","",""
"Ramlaoui DDS","(408) 275-6430","California","","English","new","","Score 7/10 | apollo:611372bfc16e330130b53057","","","dental","7","http://www.linkedin.com/company/ramlaouidds","","","1996"
"San Fernando Valley Dental Society","(818) 576-0116","California","","English","new","","Score 7/10 | apollo:56e70d91f3e5bb3026005e8d","","","dental","7","http://www.linkedin.com/company/san-fernando-valley-dental-society","","","1951"
"TMJ Therapy Sleep Solution","(310) 826-3399","California","","English","new","","Score 7/10 | apollo:66a315e8d509070001ee641a","","","dental","7","http://www.linkedin.com/company/tmjtherapysleepsolution","","",""
"Dental Travel Services","","California","","English","new","","Score 8/10 | apollo:55eb4359f3e5bb395e006749","","","dental","8","http://www.linkedin.com/company/dental-travel-services","","","2013"
"Academy of Dental Materials","(858) 272-1018","California","","English","new","","Score 7/10 | apollo:66f50de981d32f0001dee955","","","dental","7","http://www.linkedin.com/company/academy-of-dental-materials","","","1941"
"UC San Diego Delta Sigma Pi","(888) 643-0461","California","","English","new","","Score 7/10 | apollo:63514bafa08b9300a390e44d","","","dental","7","http://www.linkedin.com/company/ucsddsp","","","2004"
"Santa Clara County Dental Society","(408) 289-1480","California","","English","new","","Score 7/10 | apollo:54a1a3347468695c829bb903","","","dental","7","http://www.linkedin.com/company/santa-clara-county-dental-society","","","1889"
"Martin Dental,dentistinnorthpark.com","","California","""Owner","English","new","","Score 9/10 | apollo:62b5db50cf266d00a353b909","","Practioner""","dental","9","Troy Ma**n","","unverified",""
"Royal Dental Practice","(818) 346-5600","California","","English","new","","Score 7/10 | apollo:5d3420f180f93e680d0a1dd3","","","dental","7","http://www.linkedin.com/company/royaldentalpractice","","","1994"
"Dr. Salauni Karia Spectrum Dental Clinic","(858) 578-0800","California","Salauni Ka**a","English","new","","Score 10/10 | apollo:6798c0f56ac12301b0792215","","Company Owner","dental","10","http://www.linkedin.com/company/spectrumdentaldrkaria","","unverified","2018"
"Z Dental Group","(323) 936-9997","California","","English","new","","Score 8/10 | apollo:54a12a6969702dc84124c901","","","dental","8","http://www.linkedin.com/company/z-dental-group","","","2011"
"Lavo Dental","(818) 345-5556","California","","English","new","","Score 8/10 | apollo:6407318d0a4b1600a3410111","","","dental","8","http://www.linkedin.com/company/lavo-dental","","","2023"
"A-Plus Dentistry","","California","","English","new","","Score 8/10 | apollo:5b14856ea6da987104b37f92","","","dental","8","http://www.linkedin.com/company/aplusdentistry","","","2014"
"""Dr. Emma Kim, DMD, PC""","(310) 454-4316","California","","English","new","","Score 7/10 | apollo:54a134fc69702d38bb0f7a00","","","dental","7","http://www.linkedin.com/company/dr-emma-kim-dmd","","","2000"
"Alpha Dental","(619) 265-0566","California","Tyler Ku**o","English","new","","Score 9/10 | apollo:6697640f67227102932cf20b","","Dentist/ Owner","dental","9","http://www.linkedin.com/company/alpha-dental-sandiego","","unverified",""
"ORANGE FAMILY DENTAL","(619) 280-4861","California","","English","new","","Score 7/10 | apollo:55697536736964255db23200","","","dental","7","http://www.linkedin.com/company/orange-family-dental","","",""
"""Southern California Periodontics & Implantology-Tina Beck DDS,MS""","(858) 635-6700","California","","English","new","","Score 8/10 | apollo:5f3eb878a348460001e5d700","","","dental","8","http://www.linkedin.com/company/southern-california-periodontics-&-implantology-tina-beck-dds-ms","","","2012"
"DDS Cloud","(310) 205-5307","California","","English","new","","Score 7/10 | apollo:64489b8524ed930001d1ae41","","","dental","7","http://www.linkedin.com/company/dds-cloud","","",""
"""Associated Dental Laboratory, Inc.""","(310) 208-4373","California","","English","new","","Score 7/10 | apollo:646a89dc85da240001f6edc8","","","dental","7","http://www.linkedin.com/company/associated-dental-laboratory-inc","","","1962"
"All Dental Staffing✨","(619) 851-5021","California","","English","new","","Score 7/10 | apollo:6791618f8c9f7c01b0eff3f2","","","dental","7","http://www.linkedin.com/company/all-dental-staffing%e2%9c%a8","","","2004"
"Digital Denture + Implants","(866) 512-2084","California","","English","new","","Score 8/10 | apollo:615fb85af5b8b40001303edf","","","dental","8","http://www.linkedin.com/company/digitaldenture","","","2020"
"""Joseph D'Angelo & Ashley Olson, La Jolla Dentists""","(858) 459-6224","California","","English","new","","Score 7/10 | apollo:5a9e93f7a6da98d938bb7049","","","dental","7","http://www.linkedin.com/company/joseph-d'angelo-&-ashley-olson-la-jolla-dentists","","",""
"Elite Dental & Implant Center","(805) 581-0144","California","Wayne Br**n","English","new","","Score 10/10 | apollo:5a9e1725a6da98d9a15d5ab8","","Owner","dental","10","http://www.linkedin.com/company/elite-dental-&-implant-center","","verified","2011"
"Animal Hospital and Dental Clinic","(559) 227-5575","California","Dakota Ke**r","English","new","","Score 10/10 | apollo:5e57afb1bd15ea000152dde5","","Medical Director","dental","10","http://www.linkedin.com/company/animal-hospital-and-dental-clinic","","unverified","2018"
"Dr. Jay Grossman & Associates","(310) 820-0123","California","","English","new","","Score 7/10 | apollo:54fca58c73696401549b3100","","","dental","7","http://www.linkedin.com/company/dr-jay-grossman-&-associates","","","2001"
"Total Health Dentistry of Encino","(818) 990-9101","California","","English","new","","Score 7/10 | apollo:65ba22b47ba3f00001ae7fad","","","dental","7","http://www.linkedin.com/company/total-health-dentistry-of-encino","","",""
"Ash Tree Dental","(559) 558-5454","California","","English","new","","Score 8/10 | apollo:5e57ed717defa50001cee79c","","","dental","8","http://www.linkedin.com/company/ash-tree-dental","","","2018"
"Academy of Orofacial Myofunctional Therapy","(310) 382-7852","California","Melinda Bbe","English","new","","Score 9/10 | apollo:54a1346f69702d4b2e5f0600","","Owner","dental","9","http://www.linkedin.com/company/academy-of-orofacial-myofuntional-therapy","","unverified",""
"Modern Smiles","(818) 763-9353","California","Greg Vo**k","English","new","","Score 9/10 | apollo:5a9d382aa6da98d99a3b7c1e","","Co-Founder","dental","9","http://www.linkedin.com/company/modern-smiles","","unverified","2008"
"Viva Smile","(818) 900-2800","California","Omar Mo**m","English","new","","Score 9/10 | apollo:54a12ab269702d8cfc4a6402","","Owner","dental","9","http://www.linkedin.com/company/vivasmiledental","","verified","2003"
"Passport Surgical Partners","","California","","English","new","","Score 8/10 | apollo:649ad47db7e79a00a367f80c","","","dental","8","http://www.linkedin.com/company/passport-surgical-partners","","","2023"
"Ashtree Dental","(559) 558-5454","California","","English","new","","Score 7/10 | apollo:6426798c2ce1f700dabdf78b","","","dental","7","http://www.linkedin.com/company/ashtree-dental","","",""
"Neue Klinik Odontologia","","California","","English","new","","Score 7/10 | apollo:66d57bd5493ca00001ab4de7","","","dental","7","http://www.linkedin.com/company/neue-klinik-odontologia","","",""
"The Happy Dentist Podcast","","California","","English","new","","Score 8/10 | apollo:678be6a97920340001d75571","","","dental","8","http://www.linkedin.com/company/the-happy-dentist-podcast","","","2024"
"Dental Office Handyman","","California","","English","new","","Score 8/10 | apollo:56e0e66df3e5bb68ed002b43","","","dental","8","http://www.linkedin.com/company/dental-office-handyman","","","2013"
"The Dental Rocket","(714) 560-3472","California","","English","new","","Score 8/10 | apollo:62eb5a2287ab2e0001c97936","","","dental","8","http://www.linkedin.com/company/the-dental-rocket","","","2022"
"Mission Valley Dental","","California","Ellen Mc**d","English","new","","Score 9/10 | apollo:54a13c7069702d2d7f380602","","CEO","dental","9","http://www.linkedin.com/company/mission-valley-dental","","unverified","1976"
"Citadel Dental Group","(323) 725-6700","California","","English","new","","Score 7/10 | apollo:5e5972d3da10610001bcb349","","","dental","7","http://www.linkedin.com/company/citadel-dental-group","","",""
"Radiant Dental Arts","(858) 350-0337","California","","English","new","","Score 7/10 | apollo:655059597f2ff8000146b154","","","dental","7","http://www.linkedin.com/company/radiant-dental-arts","","",""
"The Dental Biller.com","","California","The Bi**r","English","new","","Score 10/10 | apollo:65efce324f5d43000709241a","","Founder","dental","10","http://www.linkedin.com/company/the-detntal-biller-com","","unverified","2023"
"EDDIE SIMAN DDS INC","(818) 574-5009","California","Eddie Si**n","English","new","","Score 9/10 | apollo:6410047ce1540d00010b7523","","Founder","dental","9","http://www.linkedin.com/company/eddie-siman-dds-inc","","verified","1999"
"LA Dental IT","(888) 978-9889","California","","English","new","","Score 8/10 | apollo:5d6e81e313a4f000d5b389ab","","","dental","8","http://www.linkedin.com/company/la-dental-it","","","2013"
"Center for Dental Restorations","(619) 294-9525","California","","English","new","","Score 7/10 | apollo:5500cb6a73696417953b6b00","","","dental","7","http://www.linkedin.com/company/center-for-dental-restorations","","","2007"
"Dental Anywhere Mobile Apps","(866) 767-4582","California","","English","new","","Score 7/10 | apollo:54a1f8bc7468692e71bceb01","","","dental","7","http://www.linkedin.com/company/dental-anywhere-mobile-apps","","",""
"Million Dollar Smile","(858) 412-5777","California","Art Ru**l","English","new","","Score 10/10 | apollo:5e55b26921d7050001672da7","","Owner","dental","10","http://www.linkedin.com/company/million-dollar-smile","","unverified","2021"
"Horizon Dental","(800) 549-5594","California","","English","new","","Score 7/10 | apollo:61ad48e538024c0001acf8f4","","","dental","7","http://www.linkedin.com/company/horizon-dental","","",""
"Complete Dental Health","(619) 295-2202","California","Timothy Co**s","English","new","","Score 9/10 | apollo:54fca2f97369647e2fae1700","","Owner","dental","9","http://www.linkedin.com/company/complete-dental-health","","unverified","1998"
"A+ Cosmetic Dentistry","","California","","English","new","","Score 7/10 | apollo:60af81a741c825000138cebb","","","dental","7","http://www.linkedin.com/company/a-cosmetic-dentistry","","",""
"""Monica Crooks D.D.S., INC.""","(916) 922-2027","California","","English","new","","Score 7/10 | apollo:64a214f6efc766000142d7c6","","","dental","7","http://www.linkedin.com/company/monica-crooks-d.d.s.-inc.","","",""
"His Hands On Africa","","California","","English","new","","Score 8/10 | apollo:5e580a779c01df0001095e9f","","","dental","8","http://www.linkedin.com/company/hishandsonafrica","","","2016"
"Sparkling Smile Dental","(408) 412-5599","California","","English","new","","Score 8/10 | apollo:642c19a0ff579e00c2a84cc9","","","dental","8","http://www.linkedin.com/company/sparkling-smile-dental-saxena-dds-inc","","","2021"
"Los Angeles Center for Oral and Maxillofacial Surgery","(310) 842-4811","California","","English","new","","Score 7/10 | apollo:54fca17e7369647e5ecf0600","","","dental","7","http://www.linkedin.com/company/los-angeles-center-for-oral-and-maxillofacial-surgery","","",""
